what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.DefaultTextEditor",1306345688744
closed,editor,com.android.ide.eclipse.adt,10.0.1.v201103111512-110841,"com.android.ide.eclipse.editors.layout.LayoutEditor",1306345688744
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1306345690408
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1306345695252
error,log,,,"Unable to read /Users/lotze/lib/android-sdk-mac_x86/samples/android-7/AndroidManifest.xml: java.io.FileNotFoundException: /Users/lotze/lib/android-sdk-mac_x86/samples/android-7/AndroidManifest.xml (No such file or directory)",1306345700531
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1306345700535
error,log,,,"Unable to read /Users/lotze/lib/android-sdk-mac_x86/samples/android-7/AndroidManifest.xml: java.io.FileNotFoundException: /Users/lotze/lib/android-sdk-mac_x86/samples/android-7/AndroidManifest.xml (No such file or directory)",1306345700539
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1306345717618
activated,editor,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.DefaultTextEditor",1306345717632
error,log,,,"Internal Error",1306345717652
error,log,,,"An internal error occurred during: ""Refreshing workspace"".",1306345717655
error,log,,,"Internal Error",1306345717763
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1306345717765
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1306345718046
error,log,,,"Internal Error",1306345718068
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1306345718079
error,log,,,"Internal Error",1306345718225
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1306345718449
error,log,,,"Internal Error",1306345718452
error,log,,,"An internal error occurred during: ""Refreshing workspace"".",1306345718454
error,log,,,"Internal Error",1306345718604
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1306345718607
error,log,,,"Internal Error",1306345718619
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1306345718620
error,log,,,"Internal Error",1306345718754
